suite,profile,receiver,payload_bytes,clock_ppm,channel,snr_3k_db,successes,trials,per,per_ci95_low,per_ci95_high
clock,fsk4,stream,1024,500,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk4,fixed,1024,1000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk4,stream,1024,1000,awgn,18,20,20,0.0,0,0.16112515805281935
clock,fsk4,fixed,1024,2000,awgn,18,0,20,1.0,0.8388748419471806,1
clock,fsk4,stream,1024,2000,awgn,18,20,20,0.0,0,0.16112515805281935
noise,fsk4,fixed,256,0,awgn,3,0,20,1.0,0.8388748419471806,1
noise,fsk4,stream,256,0,awgn,3,0,20,1.0,0.8388748419471806,1
noise,fsk4,fixed,256,0,awgn,6,20,20,0.0,0,0.16112515805281935
noise,fsk4,stream,256,0,awgn,6,20,20,0.0,0,0.16112515805281935
noise,fsk4,fixed,256,0,awgn,9,20,20,0.0,0,0.16112515805281935
noise,fsk4,stream,256,0,awgn,9,20,20,0.0,0,0.16112515805281935
noise,fsk4,fixed,256,0,awgn,12,20,20,0.0,0,0.16112515805281935
noise,fsk4,stream,256,0,awgn,12,20,20,0.0,0,0.16112515805281935
noise,fsk4,fixed,256,0,awgn,18,20,20,0.0,0,0.16112515805281935
noise,fsk4,stream,256,0,awgn,18,20,20,0.0,0,0.16112515805281935
noise,fsk4,fixed,256,0,voice,3,0,20,1.0,0.8388748419471806,1
noise,fsk4,stream,256,0,voice,3,0,20,1.0,0.8388748419471806,1
noise,fsk4,fixed,256,0,voice,6,19,20,0.050000000000000044,0.008881448800795333,0.23613119344674205
noise,fsk4,stream,256,0,voice,6,14,20,0.30000000000000004,0.14547724486760438,0.5189728183535235
noise,fsk4,fixed,256,0,voice,9,20,20,0.0,0,0.16112515805281935
noise,fsk4,stream,256,0,voice,9,20,20,0.0,0,0.16112515805281935
noise,fsk4,fixed,256,0,voice,12,20,20,0.0,0,0.16112515805281935
noise,fsk4,stream,256,0,voice,12,20,20,0.0,0,0.16112515805281935
noise,fsk4,fixed,256,0,voice,18,20,20,0.0,0,0.16112515805281935
noise,fsk4,stream,256,0,voice,18,20,20,0.0,0,0.16112515805281935
